,Area_name,FIPS_Code,tot_house_2000,hsgsd2000,hsg_mobile_200,vacant2000,oldhouse2000,hsg50_59_2000,hsg_slght_crwd_2000,hsg-mod_crowd_2000,hsg_very_crwd_2000,hsg_inc_plumb_2000,hsg_utilitygas_2000,hsg_bottledgas_2000,hsg_electric_2000,hsg_kero_2000,hsg_coal_2000,hsg_wood_2000,hsg_solar_2000,hsg_other_fuel_2000,hsg_noheat_2000
16,"Colbert, AL",1033,24980,75.2321857486,11.8334667734,10.0840672538,16.1449159327,15.1080864692,1.23698959167,0.212169735789,0.0600480384307,0.372297838271,36.9975980785,13.7269815853,36.6533226581,0.972778222578,0.0120096076861,1.27702161729,0.0,0.144115292234,0.132105684548
17,"Conecuh, AL",1035,7265,63.9779766001,28.5478320716,20.2752924983,18.5409497591,8.89194769443,1.03234686855,0.467997247075,0.0,0.825877494838,17.0406056435,21.5141087405,37.1644872677,0.0825877494838,0.0,3.67515485203,0.0,0.0,0.247763248451
18,"Coosa, AL",1037,6142,63.8879843699,32.8883099967,23.7707587105,14.4741126669,8.49886030609,1.82351025725,0.504721589059,0.260501465321,0.309345490068,11.3155323999,32.839465972,28.8668186259,0.504721589059,0.0,2.34451318789,0.0,0.0,0.358189514816
19,"Covington, AL",1039,18578,71.0194854129,21.1540531812,15.8144041339,20.653461083,13.1661104532,1.43718376574,0.322962643988,0.134567768328,0.592098180644,24.5774572074,17.9351921628,39.9450963505,0.177629454193,0.0,1.18957907202,0.0807406609969,0.00538271073313,0.274518247389
20,"Crenshaw, AL",1041,6644,62.1011438892,29.5755568934,16.059602649,20.8910295003,9.13606261288,2.76941601445,0.632149307646,0.28597230584,0.466586393739,16.1800120409,33.2329921734,32.134256472,0.240818783865,0.0,1.59542444311,0.180614087899,0.0,0.376279349789
21,"Cullman, AL",1043,35233,67.7518235745,23.5375925978,12.8487497517,12.2697471121,9.13632106264,1.50427156359,0.317883802117,0.190162631624,0.417222490279,12.2470411262,24.1960661879,48.2615729572,0.871342207589,0.0198677376323,1.39641813073,0.0,0.0425737234979,0.116368177561
22,"Dale, AL",1045,21779,58.7217043941,21.0707562331,13.3201708067,9.17856650902,9.86271178658,1.9606042518,0.684145277561,0.0642821066165,0.422425272051,16.0659350751,8.71481702558,59.956839157,0.376509481611,0.0,0.674962119473,0.0,0.0596905275724,0.83107580697
23,"Dallas, AL",1047,20450,62.8704156479,19.9315403423,12.7579462103,17.5696821516,12.6797066015,3.09046454768,1.06112469438,0.440097799511,0.738386308068,48.2787286064,15.7114914425,22.1173594132,0.224938875306,0.0,0.738386308068,0.039119804401,0.0831295843521,0.0488997555012
24,"DeKalb, AL",1049,28051,68.2114719618,25.2361769634,10.4737799009,16.8122348579,8.70200705857,1.72186374817,0.616733806281,0.648818223949,0.880539018217,11.076253966,38.0842037717,35.9202880468,1.60778581869,0.024954547075,2.3920715839,0.0,0.320844176678,0.0998181882999
25,"Elmore, AL",1051,25733,73.057941165,20.1647689737,11.642637858,9.78898690398,7.14646562779,1.80701822562,0.388606070027,0.0971515175067,0.384720009327,21.2956126375,20.1453386702,45.5640617106,0.244821824117,0.0388606070027,0.87436365756,0.0,0.116581821008,0.0777212140054
26,"Escambia, AL",1053,16544,66.3201160542,25.0725338491,13.5819632495,14.0594777563,12.9956479691,1.94028046422,0.634671179884,0.247823984526,0.640715667311,18.4477756286,10.874032882,54.0256286267,0.80996131528,0.0,2.01281431335,0.0,0.0423114119923,0.205512572534
27,"Etowah, AL",1055,45959,74.6143301638,13.1769620749,9.45190278292,22.1175395461,16.2971344024,1.18366370025,0.409060249353,0.0761548336561,0.25457472965,49.9227572401,12.2456972519,27.2199134011,0.24804717248,0.0152309667312,0.637524750321,0.0,0.115320176679,0.143606257751
28,"Fayette, AL",1057,8472,67.8706326723,22.2379603399,11.5557129367,17.3394711992,11.2252124646,1.69971671388,0.188857412653,0.118035882908,0.519357884797,25.1298394712,23.1114258735,37.5354107649,0.0,0.779036827195,1.71152030217,0.0,0.14164305949,0.0354107648725
29,"Franklin, AL",1059,13749,70.7469634155,18.61226271,10.8371517929,14.5319659612,10.1461924504,1.49101752855,1.00370936068,0.50185468034,0.349116299367,43.6977234708,17.0412393629,26.22736199,0.458215142919,0.116372099789,1.55647683468,0.0,0.0654593061314,0.0
30,"Geneva, AL",1061,12115,67.8662814693,26.3970284771,13.52042922,16.7395790343,9.63268675196,1.38671068923,0.330169211721,0.0412711514651,0.445728435823,11.5476681799,15.3611225753,56.929426331,1.09781262897,0.0,1.21337185307,0.0,0.115559224102,0.214609987619
31,"Greene, AL",1063,5117,57.5727965605,31.8350596052,23.1776431503,9.65409419582,7.17217119406,2.57963650577,0.996677740864,0.62536642564,2.67735000977,18.6046511628,31.854602306,22.7281610319,0.723079929646,0.0,2.38420949775,0.0,0.273597811218,0.254055110416
32,"Hale, AL",1065,7756,56.9107787519,35.6498194946,17.2898401238,14.9045899948,7.23310985044,2.23053120165,1.52140278494,0.167612171222,2.48839608045,20.8612686952,26.5342960289,31.4466219701,0.438370293966,0.0,3.02991232594,0.0,0.348117586385,0.0515729757607
33,"Henry, AL",1067,8037,67.2016921737,26.1042677616,18.8129899216,15.1300236407,8.80925718552,2.05300485256,1.10737837502,0.472813238771,1.05760856041,9.60557421924,14.2217245241,55.0205300485,0.908299116586,0.0,0.771432126415,0.0,0.087097175563,0.572352867986
34,"Houston, AL",1069,39571,67.329610068,16.1027014733,9.44378458972,9.07482752521,9.6535341538,1.53647873443,0.454878572692,0.192059841803,0.614086073134,10.1387379647,5.49139521367,73.4275100452,0.677263652675,0.0,0.487730914053,0.040433650906,0.0581233731773,0.235020595891
35,"Jackson, AL",1071,24168,66.1122144985,25.426183383,10.5635551142,12.4627606753,8.88364779874,1.58060244952,0.190334326382,0.0868917576961,0.678583250579,14.2419728567,25.4716981132,45.2499172459,1.31578947368,0.00827540549487,2.75984773254,0.0,0.107580271433,0.281363786826
36,"Jefferson, AL",1073,288162,67.8219196147,3.77947126963,8.63993170508,19.2589585025,16.4508158605,1.73097077338,0.605909176088,0.229384859905,0.392834586101,59.6848300609,2.27025076172,28.8365572143,0.141239996946,0.01457513482,0.14540432118,0.00520540529286,0.0933502682519,0.168655131489
37,"Lamar, AL",1075,7517,64.8796062259,24.038845284,13.9550352534,16.74870294,9.6847146468,1.17067979247,0.439004922176,0.0266063589198,0.372489024877,28.7348676334,23.5067181056,29.8789410669,0.279366768658,0.399095383797,2.27484368764,0.0,0.425701742717,0.545430357856
38,"Lauderdale, AL",1077,40424,72.5608549377,11.1963190184,10.7263012072,13.2718187216,13.0392835939,0.915297842866,0.225113793786,0.0148426677221,0.437858697803,34.7318424698,12.4901048882,39.6868197111,0.67039382545,0.0272115574906,1.53621610924,0.0,0.0519493370275,0.0791608945181
39,"Lawrence, AL",1079,15009,65.9937370911,28.9492970884,9.80078619495,9.84076220934,7.97521487108,1.63235392098,0.333133453261,0.0732893597175,1.07935238857,19.10187221,26.6839896062,40.6622693051,1.44579918715,0.0199880071957,2.00546338863,0.0,0.0666266906523,0.213205410087
40,"Lee, AL",1081,50329,48.9141449264,24.3259353454,9.19350672574,6.42770569652,6.89860716486,1.72465179121,0.578195473783,0.0655685588826,0.510639988873,27.0897494486,10.7830475471,51.9203640048,0.105307079417,0.0,0.606012438157,0.015895408214,0.00993463013372,0.276182717717
41,"Limestone, AL",1083,26897,72.7404543258,16.2099862438,8.21281183775,10.2799568725,7.54731010893,1.84778971633,0.546529352716,0.182176450905,0.524222032197,10.5364910585,18.0280328661,59.9657954419,1.27523515634,0.0371788675317,1.37561809867,0.022307320519,0.252816299216,0.2937130535
42,"Lowndes, AL",1085,5801,56.800551629,36.0972246164,15.3766591967,11.4635407688,6.41268746768,3.53387347009,1.15497328047,0.379244957766,2.0341320462,8.61920358559,44.4406136873,27.391828995,0.275814514739,0.0,3.79244957766,0.0,0.0,0.103430443027
43,"Macon, AL",1087,10627,62.9999059001,17.0038580973,15.7805589536,14.3784699351,11.1696621812,2.62538816223,1.53382892632,0.423449703585,1.75966876823,38.5527430131,22.6498541451,21.2759951068,0.18819986826,0.0,0.931589347887,0.0,0.216429848499,0.404629716759
44,"Madison, AL",1089,120288,69.1889465283,6.13610667731,8.59021681298,5.56664006385,8.87869114126,1.23287443469,0.55533386539,0.0648443735036,0.304269752594,25.5993947858,6.14442005853,58.3965150306,0.43811519021,0.000831338121841,0.606045490822,0.0124700718276,0.0698324022346,0.142158818835
45,"Marengo, AL",1091,10127,61.2520983509,27.875975116,13.4294460354,13.2319541819,10.9509232744,2.55751950232,1.44169053027,0.523353411672,1.87617260788,22.1783351437,22.3264540338,38.3924163128,0.730719857806,0.0,2.74513676311,0.0296237780192,0.0,0.167868075442
46,"Marion, AL",1093,14416,63.6029411765,25.6173695893,11.9242508324,11.9658712542,9.628190899,1.12375138735,0.256659267481,0.0,0.700610432852,43.250554939,12.7289123196,30.230299667,0.201165371809,0.548002219756,0.804661487236,0.0,0.0624306326304,0.249722530522
47,"Marshall, AL",1095,36331,71.0990614076,17.9158294569,10.4153477746,11.1144752415,9.68594313396,1.75882854862,0.481682309873,0.261484682503,0.346811263109,30.5689356197,17.2634939859,39.9328397237,0.517464424321,0.0,1.05419614104,0.0,0.0660592882112,0.181663042581
48,"Mobile, AL",1097,165101,70.9505090823,9.31853834925,9.03810394849,13.6025826615,15.18827869,2.63353946978,1.05814016875,0.290125438368,0.554206213166,49.0717803042,2.61476308441,38.4716022314,0.041186909831,0.00726827820546,0.348877353862,0.00969103760728,0.03997553013,0.356751321918
49,"Monroe, AL",1099,11343,65.106232919,27.5147668165,17.2793793529,13.0388786035,7.98730494578,2.32742660672,0.652384730671,0.273296306092,1.18134532311,14.3260160451,17.6496517676,47.7034294278,0.185136207353,0.0,2.59190690294,0.0,0.220400246848,0.0440800493697
50,"Montgomery, AL",1101,95437,67.022224085,5.47795928204,9.81694730555,14.43674885,13.1647055125,2.45397487348,0.958747655521,0.273478839444,0.544862055597,54.9535295535,3.98587549902,30.6935465281,0.0555340172051,0.0,0.181271414651,0.0,0.0670599453042,0.246235736664
51,"Morgan, AL",1103,47388,67.6584789398,12.9336540896,7.98936439605,9.69865788807,10.1523592471,1.96885287415,0.635181902591,0.213134126783,0.415717059171,24.1833375538,13.1636701275,52.162994851,0.860977462649,0.0253228665485,1.30412762725,0.0189921499114,0.0717481218874,0.21946484342
52,"Perry, AL",1105,5406,55.7158712542,33.721790603,19.8483166852,13.4665186829,12.2271550129,3.16315205327,1.92378838328,0.3884572697,1.77580466149,25.7676655568,25.8046614872,25.0832408435,0.406955234924,0.129485756567,2.77469478357,0.0,0.0,0.184979652238
53,"Pickens, AL",1107,9520,62.5420168067,27.731092437,15.0630252101,14.5588235294,11.0294117647,2.59453781513,1.08193277311,0.420168067227,1.09243697479,19.4537815126,24.3382352941,36.018907563,1.51260504202,0.0,3.45588235294,0.0,0.15756302521,0.0
54,"Pike, AL",1109,13981,55.4037622488,29.454259352,14.6484514699,14.4767899292,7.37429368429,1.68800514985,1.00851155139,0.357628209713,0.393391030685,15.5568271225,18.260496388,49.8033044847,0.379085902296,0.0,0.886917960089,0.0,0.0143051283885,0.450611544239
55,"Randolph, AL",1111,10285,69.8201263977,24.3266893534,15.9747204667,21.6237238697,9.27564414195,2.10014584346,0.456976178901,0.0,1.47788040836,15.4594069033,39.1152163345,24.6475449684,0.252795333009,0.0,3.88915896937,0.0,0.0583373845406,0.602819640253
56,"Russell, AL",1113,22831,58.3636284,19.2326223118,13.5342297753,12.8465682625,13.7619902764,2.3958652709,0.985502168105,0.205860452893,0.630721387587,26.9326792519,15.6935745259,41.973632342,0.293460645613,0.0,1.04682230301,0.0,0.109500240901,0.416100915422
57,"St. Clair, AL",1115,27303,60.4548950665,33.7838332784,11.5738197268,10.9365271216,6.01765373768,1.97047943449,0.424861736805,0.0256382082555,0.564040581621,27.2021389591,19.0418635315,40.1787349376,0.395560927371,0.0,1.34417463282,0.0476138153316,0.102552833022,0.11354063656
58,"Shelby, AL",1117,59302,67.8004114532,15.1917304644,7.87663147955,4.70473171225,3.30342990118,0.996593706789,0.360864726316,0.0691376344811,0.379413847762,37.9481299113,8.88502917271,44.2447135004,0.224275741122,0.0370982428923,0.603689588884,0.0,0.0826279046238,0.0978044585343
59,"Sumter, AL",1119,6953,51.8337408313,33.4100388322,17.9059398821,12.5988781821,7.248669639,3.30792463685,1.52452178916,0.402703868834,1.85531425284,16.3814180929,30.1884078815,32.2882209118,0.834172299727,0.0,2.1717244355,0.0,0.0719114051489,0.158205091327
60,"Talladega, AL",1121,34469,62.4358118889,26.2525747773,11.0098929473,16.997882155,11.9063506339,1.68847370101,0.615045403116,0.087034726856,0.797818329513,32.3566102875,19.8352142505,35.2084481708,0.382952798166,0.0,0.919666947112,0.0203081029331,0.0899358844179,0.176970611274
61,"Tallapoosa, AL",1123,20510,69.8537298879,19.3125304729,18.7908337396,16.9819600195,9.73183812774,1.38469039493,0.238907849829,0.0585080448562,0.653339834227,22.5694783033,20.9458800585,35.5631399317,0.190151145783,0.0,1.60897123354,0.0,0.0341296928328,0.297415894686
62,"Tuscaloosa, AL",1125,71429,58.4804491173,14.3317140097,9.67674193955,10.4159375044,10.249338504,1.99358803847,0.481597110417,0.257598454409,0.397597614414,36.4025815845,6.14176314942,46.5245208529,0.243598538409,0.0293998236011,0.746195522827,0.0,0.103599378404,0.131599210405
63,"Walker, AL",1127,32417,64.2039670543,28.7997038591,12.502699201,15.0846777925,9.25440355369,1.40975414135,0.286886510164,0.0555264213221,0.462720177685,17.3427522596,16.8090816547,51.2848196934,0.502822593084,0.357836937409,0.860659530493,0.0,0.049356818953,0.289971311349
64,"Washington, AL",1129,8123,65.8500553983,30.7768065985,17.4566047027,10.0578603964,9.20842053429,2.30210513357,0.529361073495,0.233903730149,1.83429767327,16.6317862859,31.0476424966,28.745537363,0.0,0.0,5.60137880094,0.0,0.258525175428,0.258525175428
65,"Wilcox, AL",1131,6183,54.4072456736,39.7218178878,22.7559437166,11.9036066634,6.38848455442,3.4449296458,1.98932557011,0.485201358564,2.89503477276,7.63383470807,31.3440077632,32.4437975093,1.24535015365,0.0,4.41533236293,0.0,0.161733786188,0.0
66,"Winston, AL",1133,12502,59.8704207327,33.5066389378,19.1569348904,9.71044632859,7.58278675412,1.62374020157,0.367941129419,0.159974404095,0.407934730443,19.4848824188,29.4592865142,28.555431131,0.663893776996,0.607902735562,1.58374660054,0.127979523276,0.103983362662,0.255959046553
67,"Apache, AZ",4001,31621,67.803042282,19.9772303216,36.8426045982,5.05676607318,5.67660731792,7.02697574397,5.93909111034,6.26798646469,16.3024572278,7.84921412985,15.8502261156,4.91129312798,0.490180576199,0.939249233105,31.8933620063,0.0853862939186,0.879162581829,0.259321337086
68,"Cochise, AZ",4003,51126,56.8947306654,24.0151781872,14.1474005398,12.345968783,9.07561710284,2.83613034464,1.35547470954,0.465516566913,0.931033133826,52.5759887337,13.8148887063,16.5043226538,0.1075773579,0.0,2.24347690021,0.219066619724,0.260141610922,0.127136877518
69,"Coconino, AZ",4005,53443,58.3762139101,17.3773927362,24.315625994,4.6703964972,6.24964915892,4.22506221582,2.94519394495,1.9590966076,4.10905076437,41.7416686937,11.6628931759,9.43622176899,0.394813165429,0.11414029901,11.8893026215,0.0935576221395,0.269445951762,0.0823307074827
70,"Gila, AZ",4007,28189,65.8200007095,25.5241406222,28.5536911561,10.3231757068,6.99208911277,3.23885203448,1.3019262833,0.468267764021,0.957820426407,35.3506687006,15.3712441023,12.1678668984,0.273156195679,0.0,7.48873674128,0.0744971442761,0.528574976054,0.191564085281
71,"Graham, AZ",4009,11430,61.5485564304,28.6789151356,11.4960629921,13.167104112,7.72528433946,4.97812773403,2.34470691164,0.559930008749,1.67104111986,56.946631671,9.56255468066,17.0428696413,0.0,0.0,4.11198600175,0.0612423447069,0.341207349081,0.437445319335
72,"Greenlee, AZ",4011,3744,65.7051282051,24.9732905983,16.7467948718,19.4177350427,9.90918803419,4.08653846154,1.46901709402,0.293803418803,1.04166666667,63.0074786325,5.55555555556,10.3365384615,0.0801282051282,0.0,3.63247863248,0.0801282051282,0.45405982906,0.106837606838
73,"La Paz, AZ",4012,15133,30.5821714135,54.2522963061,44.7432762836,3.29082138373,4.3216810943,1.94938214498,1.38769576422,0.297363378048,0.925130509483,9.91872067667,23.0027093108,20.2405339325,0.403092579132,0.0,0.964778959889,0.105729201084,0.099121126016,0.522037930351
74,"Maricopa, AZ",4013,1250231,59.1354717648,7.2381823839,9.38586549206,3.34962099004,7.11156578264,3.82817255371,2.35252525333,1.50588171306,0.399286211908,26.2221941385,1.13227075636,62.5065287935,0.0391927571785,0.00615886184233,0.132375537001,0.0405525058969,0.0598289436112,0.475032214047
75,"Mohave, AZ",4015,80062,51.8947815443,33.2517299093,21.5495490994,1.47885388824,1.94848992031,2.79658264845,1.52257000824,0.530838600085,0.614523744098,31.7903624691,8.95431040943,35.0103669656,0.121156104019,0.043716120007,2.05215957633,0.0337238640054,0.156129000025,0.288526392046
76,"Navajo, AZ",4017,47413,65.6845169046,24.1663678738,36.6355219033,5.81064265075,5.30445236539,5.37194440343,3.05190559551,3.13837976926,7.22797544977,23.2488979816,15.019087592,5.72838672938,0.111783688018,1.03979921119,17.6280766878,0.0843650475608,0.373315335457,0.130765823719
77,"Pima, AZ",4019,366737,52.9529335737,12.8462631259,9.37647414905,6.72934555281,10.396551207,3.44688427947,2.01152324418,0.916733244805,0.515628365832,53.8620319193,3.48396807521,32.1287462132,0.0662600173967,0.0,0.600430281101,0.0439006699624,0.074440266458,0.36374840826
78,"Pinal, AZ",4021,81154,46.5066416936,37.0899770806,24.3857357616,4.21790669591,7.03600561895,3.92340488454,1.87298223131,0.984547896592,0.852699805308,28.5740690539,6.5270966311,38.6302585208,0.13554476674,0.0123222515218,0.959903393548,0.0665401582177,0.151563693718,0.556965768785
79,"Santa Cruz, AZ",4023,13036,65.3498005523,11.8057686407,9.41239644063,11.6446762811,5.61521939245,8.2157103406,4.16538815588,1.58791040196,0.912856704511,43.6637005216,19.7146363915,24.4169990795,0.0383553237189,0.0,1.71831850261,0.414237496164,0.145750230132,0.475606014115
80,"Yavapai, AZ",4025,81730,59.9571760675,24.3643704882,14.1429095803,6.39177780497,3.57029242628,2.33941025327,0.954361923406,0.332803132265,0.501651780252,44.3986296342,18.7789061544,16.3257065949,0.189648843754,0.0195766548391,5.36400342591,0.135813042946,0.413556833476,0.231249235287
81,"Yuma,AZ",4027,,,,,,,,,,,,,,,,,,,
82,"Arkansas, AR",5001,9672,74.0694789082,14.7746071133,12.5620347395,21.3916459884,15.0847808106,1.42679900744,0.516956162117,0.0413564929694,0.868486352357,45.3990901572,8.97435897436,29.5802315964,0.299834574028,0.0,2.18155500414,0.0,0.568651778329,0.434243176179
83,"Ashley, AR",5003,10615,69.9387658973,22.5812529439,11.5967969854,15.5628827131,12.6707489402,1.95949128592,0.697126707489,0.320301460198,0.715967969854,44.1450777202,15.9114460669,24.2958078191,0.0565237870937,0.0,3.21243523316,0.0,0.169571361281,0.612341026849
84,"Baxter, AR",5005,19891,71.2633854507,17.977979991,14.2727866874,6.56578352019,5.9574682017,0.970288069981,0.271479563622,0.0402191946106,0.633452315117,27.5602031069,17.68639083,33.5930822985,0.105575385853,0.0,6.4350711377,0.045246593937,0.201095973053,0.100547986527
85,"Benton, AR",5007,64281,73.704516109,8.99799318617,9.441359033,9.52069818453,4.60322645883,2.82665173224,1.2569810675,0.392028748775,0.493147275245,47.0698962368,13.4861000918,25.7790015712,0.0700051337098,0.012445357104,3.85028235404,0.0233350445699,0.166456651266,0.10111852647
86,"Boone, AR",5009,15426,73.4603915467,13.1984960456,10.2100350058,14.0671593414,8.95241799559,1.71787890574,0.460261895501,0.097238428627,0.881628419551,32.7499027616,18.6827434202,28.2121094256,0.226889666796,0.0,9.75625567224,0.0129651238169,0.0907558667185,0.0583430571762
87,"Bradley, AR",5011,5930,75.1096121417,12.8330522766,18.4822934233,21.8381112985,13.0354131535,1.65261382799,0.725126475548,0.337268128162,0.978077571669,32.2596964587,17.3861720067,26.0539629005,0.168634064081,0.0,5.07588532884,0.185497470489,0.26981450253,0.118043844857
88,"Calhoun, AR",5013,3012,64.8406374502,26.3944223108,23.0743691899,14.5750332005,11.5537848606,1.52722443559,0.531208499336,0.265604249668,0.531208499336,26.0292164675,25.8964143426,17.1314741036,0.398406374502,0.0,7.27091633466,0.0,0.199203187251,0.0
89,"Carroll, AR",5015,11828,72.2691917484,16.5623943186,13.8569496111,17.4585728779,6.39161312141,3.31416976666,1.5556307068,0.346635103145,1.35272235374,30.1487994589,22.0493743659,24.1545485289,0.0845451471086,0.0,9.29151166723,0.0,0.202908353061,0.211362867771
90,"Chicot, AR",5017,5974,69.2835621024,19.9196518246,12.8724472715,13.7428858386,10.9809173083,2.61131570137,1.38935386676,0.569132909274,1.23870103783,36.6421158353,21.5266153331,26.8496819551,0.368262470706,0.0,1.30565785069,0.0,0.334784064279,0.100435219284
91,"Clark, AR",5019,10166,63.7025378713,18.5717096203,12.3352350974,17.3716309266,12.4729490458,1.40664961637,0.295101318119,0.177060790872,0.934487507378,42.7700177061,11.449931143,29.185520362,0.0,0.0,4.17076529608,0.0,0.0590202636238,0.0295101318119
92,"Clay, AR",5021,8498,80.1012002824,10.9908213697,12.7206401506,23.6290891975,12.9442221699,1.18851494469,0.258884443398,0.117674746999,0.376559190398,41.9628147799,26.0296540362,13.6385031772,0.105907272299,0.0,5.27182866557,0.0235349493999,0.0941397975994,0.152977171099
93,"Cleburne, AR",5023,13732,68.8319254297,23.0920477716,25.7937663851,8.33818817361,4.07078357122,1.10690358287,0.502475968541,0.116516166618,0.327701718613,18.2202155549,22.6988057093,25.0145645208,0.269443635304,0.0,7.74104281969,0.116516166618,0.101951645791,0.0436935624818
94,"Cleveland, AR",5025,3834,69.3792383933,26.4736567553,14.6322378717,14.1627543036,10.3025560772,2.16484089724,0.260824204486,0.0,0.886802295253,18.779342723,29.9687010955,27.9864371414,0.234741784038,0.0,8.11163275952,0.0782472613459,0.104329681794,0.104329681794
95,"Columbia, AR",5027,11566,72.6353103925,17.2228946913,13.7039598824,17.6119661076,16.5312121736,2.0058793014,0.605222203009,0.146982535016,1.0029396507,48.7549714681,10.8853536227,23.7160643265,0.0691682517724,0.0,2.31713643438,0.0605222203009,0.16427459796,0.328549195919
96,"Conway, AR",5029,9028,71.8653079309,19.4616747895,11.7523260966,17.2131147541,9.12715994683,2.39255649092,0.598139122729,0.232609658839,0.60921577315,33.0970314577,16.3602126717,31.5019937971,0.12184315463,0.110766504209,6.78998670802,0.0,0.210456357997,0.0553832521046
97,"Craighead, AR",5031,35133,69.234053454,10.4630973728,8.06079754077,10.3207810321,8.13480203797,1.7931858936,0.421256368656,0.159394301654,0.313095949677,51.1968804258,10.8188882247,28.1444795491,0.0825434776421,0.0,1.38616115902,0.011385307261,0.136623687132,0.162240628469
